2011,,,,,,,,,,,,"Detyrimet / 
Debts or Outstanding",,Hyra vjetore / Annual Salary,,,
,,Paluajtshme / Real Estate,,Luajtshme / Movable,,Akcione / Shares,,Letra me vlerë / Bonds,,Para të gatshme në inst.fin.,,,,Paga / Regular,,Honorar / Honorariums,
,,"të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint"
Nijazi Idrizi,PDK,60000,32000,5000,,,2000,,,,,,,12300,21500,,
Rame Vataj,PDK,,,,10000,,,,,670,,5000,,28800,,,
Ramiz Lladrovci,PDK,,,,,,,,,23747,23790,90000,,40646,73102,,
Safete Hadergjonaj,PDK,,,,,,,,,19000,,,,15533,,,
Sala Berisha-Shala,PDK,,,6000,20000,,,,,14000,7500,,,15528,27600,,
Salihe Mustafa,PDK,40000,120000,15000,50000,,,,,2000,10000,11757,30000,10000,15600,,
Shaip Muja,PDK,8000,2279000,49000,,,,,,,,,,19880,,,
Valbona Dibra,PDK,,,,,,,,,,,,,,,,
Xhavit Haliti,PDK,200000,1000000,17000,15000,6250,,,,85000,70000,,,26572,,,
Jakup Krasniqi,PDK,,375000,,,,,,,8167,20000,,,32400,7680,,
Fatmir Limaj,PDK,,900000,,45000,,,,,2150,,40000,,8928,,,
Xhevahire Izmaku,PDK,60000,,8000,,,,,,1600,,10000,,15360,,,
Zenun Pajaziti,PDK,320000,,21000,,,,,,3000,2000,40000,,22800,,,
Vlora Çitaku,PDK,,140000,,6500,,,,,5000,,,,15240,,,
Ardian Gjini,AAK,209800,250000,15000,,,,,,,,,,21576,,,
Ahmet Isufi,AAK,75000,200000,15000,,,,,,120,,35000,,19761,,,
Blerim Shala,AAK,100000,,5000,,,,,,210638,8066,,,10524,5160,8593,
Bali Muharremaj,AAK,510000,50000,,11000,,,,,,,,,44400,,,
Burim Ramadani,AAK,3500,800000,7400,,,,,,,,,,68800,,,
Donika Kadaj-Bujupi,AAK,,,,,,,,,,,,,,,,
Daut Haradinaj,AAK,205000,,41500,8500,,,,,7107,2690,67960,,36000,7800,,
Kymete Bajraktari,AAK,,171000,,,,,,,,18500,,,16802,8400,,
Ramiz Kelmendi,AAK,39303141,,33856450,,,,,,2939127,,23877013,,9308000,6720,,
Teuta Haxhiu,AAK,,623000,5000,6500,,,,,2900,6800,,,16530,16800,,
Time Kadriaj,AAK,,350000,1500,,,,,,2000,,,,15360,,,
Boban Todorovic,SLS,,577000,3000,,,,,,,,10000,,19058,,,
Biserka Kostic,SLS,,500000,,,,,,,,,,,15576,,,
Jelena Bontic,SLS,,150000,,16690,,,,,14848,,,,15516,,,
Jasmina Zivkovic,SLS,,70000,,6000,,,,,,,5000,8000,15576,6000,,
