2012,,,,,,,,,,,,"Detyrimet / 
Debts or Outstanding",,Hyra vjetore / Annual Salary,,,
,,Paluajtshme / Real Estate,,Luajtshme / Movable,,Akcione / Shares,,Letra me vlerë / Bonds,,Para të gatshme në inst.fin.,,,,Paga / Regular,,Honorar / Honorariums,
,,"të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint"
Albin Kurti,VV,,,,,,,,,,,,,17856,,1384,
Albana Fetoshi,VV,,130000,,,,,,,,,,,17856,,,
Albulena Haxhiu ,VV,,190000,,5000,,,,,,,4400,,19000,,,
Afrim Hoti,VV,80000,200000,8000,,,,,,,,,,17856,,,
Albana Gashi,VV,,325000,,,,,,,,,,,18000,,,
Emin Gerbeshi,VV,160000,,1650,,,,,,1650,,,,17500,,,
Florin Krasniqi,VV,6070000,,49000,,3200000,,,,23000,,1640000,,439521,,,
Glauk Konjufca,VV,,181000,,,,,,,1000,,5000,,24000,16200,,
Lumnije Morina,VV,,150000,,,,,,,,,,,17376,14184,,
Rexhep Selimi ,VV,156000,,17000,5300,,,,,0,,,,17856,,,
Visar Ymeri,VV,270000,60000,,,,,,,1000,,365,,,,,
Afrim Kasolli,VV,,130000,,,,,,,4000,,,,20400,,,
Liburn Aliu,VV,,,,,,,,,,,,,17856,15600,,
Alma Lama,VV,,45000,,35000,,,,,15000,6000,,,18000,43200,,
Anton Quni,LDK,,412000,8000,,,,,,0,,,,19200,,,
Afërdita Berisha-Shaqiri,LDK,,,,,,,,,7000,,,,27456,,40,
Ali Sadriu,LDK,614600,,38000,,,,,,1000,,,,16800,4320,,
Arben Gashi,LDK,,150000,35000,,,,,,1750,13000,61244,,28831,10020,,
