2010,,,,,,,,,,,,"Detyrimet / 
Debts or Outstanding",,Hyra vjetore / Annual Salary,,,
,,Paluajtshme / Real Estate,,Luajtshme / Movable,,Akcione / Shares,,Letra me vlerë / Bonds,,Para të gatshme në inst.fin.,,,,Paga / Regular,,Honorar / Honorariums,
,,"të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint"
Ismet Beqiri,LDK,232000,,,,,,,,15084,,,,18000,6000,,
Arsim Rexhepi,LDK,172000,,7000,,,,,,,,50000,,25000,,,
Njomza Emini,LDK,180000,,,,,,,,12000,,12000,,17400,,,
Adem Salihaj,LDK,390000,,5000,3000,,,,,709,,,,21600,9600,,
Sabri Hamiti,LDK,200000,,,,,,,,100000,,,,35656,2280,,
Nekibe Kelmendi,LDK,160000,,,,,,,,,,,,16175,,,
Eqrem Kryeziu,LDK,305000,,,,,,,,,,35000,,25400,14200,240,
Lutfi Haziri,LDK,362000,12000,25000,10000,,,,,78000,,,,23730,,,
Alush Gashi,LDK,56000,30000,,,,,,,8570,,56000,,25798,,,
Kolë Berisha,LDK,,175000,19406,68507,,,,,5847,,,,19406,5115,,
Lutfi Zharku,LDK,320200,,,,8655,,,,18691,,,,15246,,,
Ali Lajçi,LDK,180000,50000,,12000,,,,,,,,,16080,,,
Skënder Hyseni,LDK,468000,,46000,,,,,,88288,,,,40457,9900,,
Bujar Bukoshi,LDK,715000,,,3000,,,,,3700,,,,24200,3800,,
Sanije Aliaj,LDK,,759400,,10300,,,,,44800,,39000,,22612,6000,,
Ramë Manaj,LDK,150000,,8000,16000,,,,,,,30000,,17400,7800,,
Zef Morina,LDK,1340000,,18000,,1523500,,,,54000,,470000,,142000,,,
