2014,,,,,,,,,,,,"Detyrimet / 
Debts or Outstanding",,Hyra vjetore / Annual Salary,,,
Name,Party,Paluajtshme / Real Estate,,Luajtshme / Movable,,Akcione / Shares,,Letra me vlerë / Bonds,,Para të gatshme në inst.fin.,,,,Paga / Regular,,Honorar / Honorariums,
,,"të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint"
Albin Kurti,VV,,,,,,,,,,,,,17856,,1384,
Aida Dërguti,VV,40500,230000,,,,,,,,,31274,,9000,840,1300,
Albulena Haxhiu,VV,,250352,,9500,,,,,,,7158,,17856,5236,,
Besa Baftija,VV,,,,,,,,,,,,,,,,
Besnik Bislimi,VV,350000,,21000,,,,,,5300,,180000,22000,56900,,14300,
Fisnik Ismajli,VV,,,,,,,,,,,,,,,,
Glauk Konjufca,VV,,181000,,3000,,,,,340,,5000,,24000,17556,,
Ilir Deda,VV,,,,,,,,,215,,29000,,17760,,,
Ismajl Kurteshi,VV,,410000,3000,,,,,,8000,,,,15480,21600,,
Liburn Aliu,VV,,,,,,,,,,,,,,,,
Mytaher Haskuka,VV,300000,,7000,8500,,10000,,,7500,,,,39960,24000,,
Puhie Demaku,VV,,160000,5500,7000,,,,,2000,,,,16800,5520,,1500
Rexhep Selimi,VV,156000,,12000,5300,,,,,,,,,17856,,,
Salih Salihu,VV,930000,950000,18000,60000,23000,,,,6000,,100000,,31920,15600,,
Shqipe Pantina,VV,70000,125000,7000,3000,20000,,,,850,7500,5000,,17760,9816,,
Visar Ymeri,VV,200000,60000,9000,,,,,,50000,,22000,,20366,7440,,
Adem Salihaj,LDK,1240000,,,,,,,,484,,,,5600,10320,,
Agim Ademaj,LDK,48000,,5000,,,,,,,,,12000,17856,5280,,
Ali Sadriu,LDK,614600,,38000,,,,,,320,,15000,,21600,4320,,
Alma Lama,LDK,,105000,6000,35000,,,,,15000,,,,18000,17000,,
Anton Quni,LDK,,412000,8000,,,,,,,,,,25757,,,
Arben Gashi,LDK,,150000,,,,,,,1200,5500,60000,,36267,13951,,
Armend Zemaj,LDK,,350000,11000,,,,,,19000,,30000,,25763,13788,,
Avdullah Hoti,LDK,68000,,5800,,,,,,,41194,,,35438,5400,,
Besa Gaxherri,LDK,,830000,24000,10000,,,,,10000,,,24000,31000,15650,,
Blerim Grainca,LDK,,705000,,,,,,,,,,2880,17856,5448,,
Doruntinë Maloku-Kastrati,LDK,,840000,,22000,,,,,,16700,35000,,14400,,,
Fatmir Rexhepi,LDK,35000,56500,35000,22000,1250000,,,,54500,309000,,,30000,30000,,
Haki Demolli,LDK,320000,,10000,,,,,,45250,,416,,28268,,1000,
Hatim Baxhaku,LDK,170000,500000,76000,10000,,,,,3500,5000,,,21800,,,
Hykmete Bajrami,LDK,137,180000,12000,3700,,,,,1000,1500,43000,10000,27310,28300,,
Isa Mustafa,LDK,503000,,,,20000,,,,55609,,,,24679,,7337,
Ismet Beqiri,LDK,,232000,6500,,,,,,13028,,20000,,17856,6060,,
Kujtim Shala,LDK,74000,207000,4500,7000,,,,,1000,570,45000,,27000,3900,,
Lirije Kajtazi,LDK,,250000,6000,,,,,,5294,,,,22119,3840,,
Muhamet Mustafa,LDK,40000,1428000,,8200,500000,70000,,,2500,,70250,,41955,,2000,
Naser Osmani,LDK,42000,,15000,,,,,,8600,,,,57000,12000,,
Njomza Emini,LDK,150000,,,13000,,,,,,,,,17400,260,,
Nuredin Ibishi,LDK,249940,50000,7000,12000,,,,,257,,5100,,34528,13992,,
Sabri Hamiti,LDK,200000,,,,,,,,11191,45000,,,35771,,3050,
Sadri Ferati,LDK,650000,64000,5500,,,,,,300,,3000,,17760,3609,,
Salih Morina,LDK,,295000,,13000,,,,,2600,,1000,,21506,,,
Shpejtim Bulliqi,LDK,,,,,,,,,,,,,,,,
Teuta Rugova,LDK,,1568000,,25000,,,,,,,,,18000,42000,,
Teuta Sahatqija,LDK,,659000,,,32000,128000,,,1487,1000,46000,66,24720,23550,,
Vjosa Osmani,LDK,56000,792000,9500,4500,200,,,,27547,21400,14400,90000,29389,32068,,
Adem Grabovci,PDK,1350330,,,,,,,,,,,,23866,7960,,
Agim Aliu,PDK,386000,35000,5000,7500,,,,,14506,800,,,16800,7584,,
Agim Ceku,PDK,,,,,,,,,,,,,,,,
Arsim Bajrami,PDK,250000,20000,11000,,,,,,54000,9000,47000,,30400,4000,10800,
Azem Syla,PDK,70000,100000,,30000,,,,,,,,,19304,,,
Bekim Haxhiu,PDK,120000,250000,27500,12000,,,,,2456,3000,,,26029,11760,,
Besim Beqaj,PDK,,,,,,,,,,,,,,,,
Blerta Deliu-Kodra,PDK,100000,2710000,,20000,,,,,979,5494,10000,,21238,,,
Edita Tahiri,PDK,,,,,,,,,,,,,,,,
Elmi Reçica,PDK,215000,,12000,,,,,,7895,,15000,,25104,,,
Enver Hoxhaj,PDK,,,,,,,,,,,,,,,,
Fadil Beka,PDK,250000,220000,5000,,,,,,,,,,27216,,,
Flora Brovina,PDK,55000,10000,,,,,,,,9500,300,,19531,6000,,
Gëzim Kelmendi,PDK,,150000,12000,,,,,,,,2465,,28185,5500,,
Hajredin Kuçi,PDK,,,,,,,,,,,,,,,,
Hashim Thaqi,PDK,,,,,,,,,,,,,,,,
Kadri Veseli,PDK,125000,97000,,16300,,,,,10500,3000,,,16800,29492,,
Labinotë Demi-Murtezi,PDK,,,,,,,,,,,,,,,,
Latif Gashi,PDK,150000,190000,,51500,,,,,,,,,24310,,,
Luljeta Veselaj Gutaj,PDK,,,,376560,,12500,,,,,8275,20000,11508,7344,,
Margarita Kadriu-Ukelli,PDK,350000,100000,8000,,,,,,,205000,,,638,12000,,
Memli Krasniqi,PDK,,,,,,,,,,,,,,,,
Mexhide Mjaku-Topalli,PDK,,550000,,10000,,,,,,2580,,20000,2700,7210,,
Naim Fetahu,PDK,,,,,,,,,,,,,,,,
Nezir Coçaj,PDK,,,,,,,,,,,,,,,,
Nuredin Lushtaku,PDK,,,,,,,,,,,,,,,,
Rafet Rama,PDK,87200,150000,20800,,,,,,3600,,,,30672,2225,,
Raif Qela,PDK,,,,,,,,,,,,,,,,
Ramiz Kelmendi,PDK,41946551,,3302015,,,,,,822127,,8315023,,78801,10635,,
Rrustem Mustafa,PDK,509000,,25000,,,,,,12500,5200,,,15180,5400,,
Safete Hadergjonaj,PDK,,,12000,,,,,,23641,,25000,,26813,2160,,
Sala Berisha-Shala,PDK,,345000,14000,20000,,,,,10000,15000,17000,,33827,19650,,
Selvije Halimi,PDK,,,,,,,,,,,,,,,,
Ganimete Musliu,PDK,,,,,,,,,2000,,,,17856,,,
Xhavit Haliti,PDK,200000,1000000,17000,15000,9250,,,,59928,79879,,,28536,,,
Xhevahire Izmaku,PDK,145000,,9000,,,,,,4800,,45000,,26572,,,
Zenun Pajaziti,PDK,320000,,20000,4000,,,,,5000,3000,13000,,19500,4200,,
Ramush Haradinaj,AAK,375000,297300,48000,20000,,,,,13000,,,,23100,14976,,
Bali Muharremaj,AAK,510000,50000,,11000,,,,,,,,,20672,,,
Blerim Shala,AAK,100000,,10000,,,,,,222036,10536,,,35134,6409,3740,
Daut Haradinaj,AAK,206850,,27500,8500,,,,,13478,,73318,,41324,50,,
Donika Kadaj Bujupi,AAK,,300000,6500,9800,,,,,,,70000,,20552,,,
Lahi Brahimaj,AAK,,430000,,119800,,,,,3724,,,,,,,
Melihate Termkolli,AAK,,405000,,15000,,,,,,,18000,,12000,,,
Pal Lekaj,AAK,,,,,,,,,,,,,,,,
Rrustem Berisha,AAK,400000,380000,39950,,,230000,,,2132,645,400,106250,37753,7178,,
Teuta Haxhiu,AAK,,623000,13450,6500,,,,,2900,6800,,,24031,,,
Time Kadrijaj,AAK,,350000,8500,,,,,,2000,,,,25129,,,
Fatmir Limaj,NISMA,,900000,,30000,,,,,2150,,40000,,15504,5388,,
