2013,,,,,,,,,,,,"Detyrimet / 
Debts or Outstanding",,Hyra vjetore / Annual Salary,,,
,,Paluajtshme / Real Estate,,Luajtshme / Movable,,Akcione / Shares,,Letra me vlerë / Bonds,,Para të gatshme në inst.fin.,,,,Paga / Regular,,Honorar / Honorariums,
,,"të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint"
Albin Kurti,VV,,,,,,,,,,,,,17856,,1384,
Albana Fetoshi,VV,,130000,,5000,,,,,,,,,18000,3600,,
Albulena Haxhiu ,VV,,250352,,9500,,,,,,,1900,,17856,8474,,
Afrim Hoti,VV,80000,200000,7800,,,,,,,,,,17856,,,
Albana Gashi,VV,,355000,,,,,,,,,,,18000,,,
Emin Gerbeshi,VV,199900,1700000,,,,,,,10000,,,,18000,,,
Florin Krasniqi,VV,2770000,,49000,,2100000,,,,12000,,1600000,,365116,,,
Glauk Konjufca,VV,,181000,,3000,,,,,340,,5000,,24000,4992,,
Lumnije Morina,VV,,150000,,,,,,,1045.69,5899.17,,,17856,14190,,
Rexhep Selimi ,VV,156000,,17000,5300,,,,,,,,,17856,,,
Visar Ymeri,VV,341000,60000,,,,,,,77940,,20000,,20366.49,7440,,
Afrim Kasolli,VV,,130000,,,,,,,13000,,,,23363,,,
Liburn Aliu,VV,15000,,,,,,,,,,,85000,17856,16320,,
Alma Lama,VV,,105000,,35000,,,,,15000,,,,17000,84000,,
Anton Quni,LDK,,412000,8000,,,,,,1275,,,,23040,,,
Afërdita Berisha-Shaqiri,LDK,,,,,,,,,6000,,,,27456,6600,,
Ali Sadriu,LDK,614600,,38000,,,,,,1000,,15000,,31600,4320,,
